Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL
2699,78704,UT Austin,2.77 miles,"1100 S Lamar Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/lamar-union/5fSxLV/
1549,78753,UT Austin,8.93 miles,"1200 E Parmer Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/bexley-at-tech-ridge/5Xkq8J/
2602,78756,UT Austin,2.84 miles,"5453 Burnet Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/burnet-flats/5YyFzy/
1508,78729,UT Austin,12.45 miles,"8701 W Parmer Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/artisan-apartments-%26-shops/5XhsvV/
2741,78723,UT Austin,2.04 miles,"1900 Simond Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/amli-at-mueller/63f6Mf/
6020,78701,UT Austin,1.58 miles,"303 W 5th St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/hanover-republic-square/9T5VQT/
1655,78759,UT Austin,7.26 miles,"8701 Bluffstone Cv, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/canyon-resort-at-great-hills-apartments/5Xhsx5/
1981,78758,UT Austin,7.47 miles,"11119 Alterra Pkwy, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/gallery-at-domain/65Xx3D/
1675,78745,UT Austin,8.24 miles,"7201 Ranch Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/west-lake-vistas/BT3mmW/
1390,78753,UT Austin,5.76 miles,"9601 Middle Fiskville Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/villas-de-la-plaza/5Xht72/
1955,78652,UT Austin,12.14 miles,"827 Camino Vaquero Pkwy, Austin, TX",2,2,,,zillow.com/b/view-at-estancia-austin-tx-CCCv7q/
2250,78741,UT Austin,3.73 miles,"1700 Willow Creek Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-sondery/9LSPXN/
1344,78753,UT Austin,10.12 miles,"1501 E Howard Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/bridge-at-harris-ridge/BKhm4Q/
2530,78758,UT Austin,6.71 miles,"10300 Metropolitan Dr, Austin, TX",2,2,,,zillow.com/b/the-bond-austin-tx-9LTFhc/
2226,78753,UT Austin,10.12 miles,"1501 W Howard Ln, Austin, TX",2,2,,,zillow.com/b/the-kelsey-at-scofield-farms-austin-tx-CCYKJB/
1462,78744,UT Austin,7.22 miles,"4506 E William Cannon Dr, Austin, TX",2,2,,,zillow.com/b/bridges-at-canyon-view-austin-tx-65bVvZ/
1475,78753,UT Austin,5.38 miles,"8926 N Lamar Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/aubry-hills-apartments/5XhsxZ/
2250,78744,UT Austin,7.4 miles,"7733 Burleson Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/citizen-house-bergstrom/BsX3t6/
1900,78741,UT Austin,4.97 miles,"6507 E Riverside Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/crosstown/9T5f39/
3029,78723,UT Austin,2.34 miles,"1414 E 51st St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/solomon/9T5bqM/
1937,,UT Austin,4.37 miles,"6117 Fm 696, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/citizen-house-mlk/CJDCNx/
1800,78745,UT Austin,5.44 miles,"122 Sheraton Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/prospect/CCBVCd/
2053,78741,UT Austin,4.88 miles,"6400 E Riverside Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/urban-east/9T5f32/
2023,78747,UT Austin,11.37 miles,"2213 Cascades Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/cascades-at-onion-creek/CJ2nfr/
2481,78735,UT Austin,7.79 miles,"6401 Rialto Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/pearl-lantana/65gHZp/
2560,78721,UT Austin,3.45 miles,"5400 Jain Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/broadstone-east-end/C2RvCp/
2046,78754,UT Austin,9.01 miles,"12601 Innovar Cir, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-vaughan/C6bhwZ/
2182,78731,UT Austin,2.17 miles,"4424 Jackson Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/korina-%26-alder-at-the-grove/Bj6wfT/
2089,78751,UT Austin,2.33 miles,"5400 N Lamar Blvd, Austin, TX",2,2,,,zillow.com/b/camden-lamar-heights-austin-tx-9jxmYs/
1785,78724,UT Austin,9.22 miles,"10346 Blue Bluff Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/citizen-house-blue-bluff/CZ8s5f/
2400,78758,UT Austin,6.02 miles,"9127 Research Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/presidium-waterford/C8g9Qn/
1830,78747,UT Austin,11.71 miles,"12001 Heatherly Dr, Austin, TX",2,2,,,zillow.com/b/three-hills-austin-tx-CZ7Jrv/
2188,78724,UT Austin,6.11 miles,"8101 Loyola Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/bluestem-at-loyola/C4dxDm/
2655,78759,UT Austin,7.38 miles,"10801 N Mopac Expy, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/alexan-braker-pointe/9T5kw7/
2400,78705,UT Austin,1.76 miles,"4527 N Lamar Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/echo/63PHMx/
2394,78752,UT Austin,3.6 miles,"613 W Saint Johns Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-johnny/9T5j4c/
2014,78744,UT Austin,5.6 miles,"7205 E Ben White Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/veranda/CHvW64/
1595,78727,UT Austin,10.19 miles,"5400 W Parmer Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/stone-oak-at-parmer/5Xht5w/
2255,78717,UT Austin,13.21 miles,"13460 Lyndhurst St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-asher/CFXVxp/
1421,78723,UT Austin,3.86 miles,"5605 Springdale Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-reserve-at-springdale/B5xXrf/
1499,78744,UT Austin,7.53 miles,"8515 S Interstate Highway 35 Frontage Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/bridge-at-monarch-bluffs/BYKdnc/
1639,78754,UT Austin,9.68 miles,"13301 Dessau Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/bridge-at-davenport-place/BMFqdP/
1491,78741,UT Austin,4.26 miles,"2207 Wickersham Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-patten/5Xht4y/
1475,78752,UT Austin,3.94 miles,"7581 Chevy Chase Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/chevy-chase/5Xht3C/
1800,78717,UT Austin,14.33 miles,"13100 Avery Ranch Blvd, Austin, TX",2,2,,,zillow.com/b/astra-avery-ranch-austin-tx-BqvfZX/
1920,78752,UT Austin,2.99 miles,"112 Will Davis Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/revolve-atx/CGCBsH/
1890,78735,UT Austin,7.61 miles,"5313 Vega Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-markson-austin/BzsWrB/
1193,78729,UT Austin,10.46 miles,"7900 San Felipe Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/sona/5XhtCM/
1894,78747,UT Austin,11.84 miles,"12000 Interstate Highway 35 Frontage Rd, Austin, TX",2,2,,,zillow.com/b/reveal-at-onion-creek-austin-tx-BpVRfn/
1855,78727,UT Austin,9.99 miles,"3001 Scofield Ridge Pkwy, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/windsor-ridge/9LRsJF/
1220,78749,UT Austin,7.11 miles,"4701 Staggerbrush Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/monterey-ranch/5Xht59/
1320,78745,UT Austin,7.52 miles,"7201 S Congress Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/soco-park-apartment-homes/5Xhsw5/
1571,78727,UT Austin,10.33 miles,"3201 Century Park Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-olivine/5Xht6H/
1416,78754,UT Austin,7.99 miles,"12001 Dessau Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/ascent-north/5Xht82/
2535,78704,UT Austin,4.11 miles,"2717 S Lamar Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/bell-south-lamar/5Yy9Xf/
1813,78726,UT Austin,11.02 miles,"8225 N Fm 620 Rd, Austin, TX",2,2,,,zillow.com/b/abelia-flats-austin-tx-9mgmS7/
1469,78745,UT Austin,7.3 miles,"Bridge at Southpoint, 6808 S Interstate Highway 35 APT 251, Austin, TX 78745",2,2,860,,zillow.com/apartments/austin-tx/bridge-at-southpoint/5XhtCB/
1619,78753,UT Austin,9.61 miles,"701 Center Ridge Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-bridge-at-center-ridge/5Xht7V/
1233,78759,UT Austin,8.34 miles,"11215 Research Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/maa-balcones-woods/5Xhsy2/
2800,78754,UT Austin,7.27 miles,"1909 Sorghum Hill Dr, Austin, TX 78754",2,2,1362,2099,zillow.com/homedetails/1909-Sorghum-Hill-Dr-Austin-TX-78754/70354416_zpid/
1628,78726,UT Austin,11.82 miles,"9501 N Fm 620 Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/maa-canyon-creek/9mgkMK/
2260,78723,UT Austin,1.9 miles,"4646 Mueller Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/sync-at-mueller/5YtGGY/
1349,78741,UT Austin,4.2 miles,"Burl North, 2507 Burleson Rd #215, Austin, TX 78741",2,2,850,,zillow.com/apartments/austin-tx/burl-north/5Xhsyr/
1495,78704,UT Austin,4.68 miles,"3737 Keats Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/creek-village/5Xhsyv/
2015,78731,UT Austin,2.36 miles,"4330 Bull Creek Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/maa-west-austin/5Xht7Z/
1785,78758,UT Austin,4.71 miles,"8220 Research Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/park-at-crestview/5Xht6h/
1599,78745,UT Austin,7.02 miles,"744 W William Cannon Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-dexter/5Xhsyk/
1489,78741,UT Austin,3.79 miles,"2425 E Riverside Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/ovation-apartments/5Xht5V/
1497,78729,UT Austin,11.44 miles,"12800 Turtle Rock Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/villages-at-turtle-rock/5XhtF8/
1759,78747,UT Austin,9.66 miles,"2001 E Slaughter Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/nexus-at-goodnight-ranch/Bh7tcb/
1591,78681,UT Austin,13.36 miles,"2800 La Frontera Blvd, Round Rock, TX",2,2,,,zillow.com/apartments/round-rock-tx/enclave-at-la-frontera/5Xht49/
1572,78745,UT Austin,9.25 miles,"7500 S Interstate Highway 35 Frontage Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/ladera-apartment-homes/BsJSfs/
2192,78758,UT Austin,7.62 miles,"3201 Esperanza Xing, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-kenzie-at-the-domain/5g4RfH/
1889,78735,UT Austin,5.8 miles,"4424 Gaines Ranch Loop, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/camden-gaines-ranch/5Xhsx2/
7140,78701,UT Austin,1.75 miles,"242 W 2nd St FLOOR 11-ID37, Austin, TX 78701",2,2,1316,,zillow.com/homedetails/242-W-2nd-St-FLOOR-11-ID37-Austin-TX-78701/2056139118_zpid/
1620,78759,UT Austin,7.48 miles,"10300 Jollyville Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/hardrock-canyon/5Xht4Y/
1926,78735,UT Austin,7.16 miles,"5604 Sw Pkwy, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-preserve-at-travis-creek/BntPvT/
1399,78704,UT Austin,4.53 miles,"3622 Manchaca Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/tides-at-south-lamar/5XhtHQ/
1609,78723,UT Austin,2.4 miles,"1200 Broadmoor Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-lowell-at-mueller/5Xht39/
1467,,UT Austin,12.53 miles,"15701 Farm To Market Rd, Austin, TX",2,2,,,zillow.com/b/the-james-on-grand-avenue-austin-tx-C4dxFT/
1899,78754,UT Austin,6.11 miles,"9911 Dessau Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/paloma/C723Kd/
1468,78653,UT Austin,9.79 miles,"The Element, 5724 E Howard Ln, Manor, TX 78653",2,2,902,1634,zillow.com/b/the-element-manor-tx-C4YPvk/
